Asian,Black,CensusID,ClaimDamage,ClaimN,FeatureID,HOUSEHOLDS,Other,Owner,PolicyN,PolicyRate,Renter,White,policycost
0.2,85.5,12086001401,78391.4415625,2.75,133,1577.0,-93.0,388.0,123.090909091,0.07805384216296767,1189.0,8.3,84343.5454545
1.0,22.4,12086011201,506502.7240016131,10.4666666667,134,1801.0,-91.30000000000001,1289.0,845.545454545,0.4694866488312049,512.0,68.9,364462.909091
1.3,31.0,12086010704,1881780.4749609374,18.1875,135,2558.0,-89.6,1589.0,1093.18181818,0.42735802118060984,969.0,58.3,586009.636364
1.7,3.3,12086010300,2463439.8350262856,22.9333333333,136,2674.0,-94.7,2183.0,824.909090909,0.30849255456581903,491.0,90.7,364010.727273
0.5,16.0,12086011003,698319.9584464496,13.1578947368,137,1164.0,-88.6,892.0,423.454545455,0.36379256482388317,272.0,73.1,212916.636364
1.0,7.4,12086003909,7162.0352,1.6,138,965.0,-94.10000000000001,244.0,81.2727272727,0.0842204427696373,721.0,86.7,240666.272727
1.3,1.3,12086003804,175640.70820455847,6.55172413793,139,2609.0,-96.19999999999999,1830.0,903.454545455,0.346283842642775,779.0,94.6,2385116.72727
0.9,2.1,12086003803,109813.12684789638,2.7619047619,140,1319.0,-97.0,826.0,280.727272727,0.21283341374298712,493.0,95.0,1066219.36364
1.0,1.9,12086000130,7593.343333322486,2.33333333333,141,1314.0,-95.30000000000001,786.0,46.7272727273,0.03556109035563166,528.0,93.4,604798.818182
3.5,5.9,12086000128,18264.25537035518,2.83333333333,142,1319.0,-92.60000000000001,829.0,246.545454545,0.1869184644010614,490.0,84.2,650888.909091
0.8,1.3,12086000126,884253.6689279916,4.35714285714,143,1055.0,-94.1,582.0,49.1818181818,0.04661783713914692,473.0,93.0,289130.0
3.3,2.7,12086000118,379743.7067891927,2.77777777778,144,451.0,-94.3,254.0,22.1818181818,0.04918363233215078,197.0,89.3,519110.363636
0.2,19.9,12086011404,138775.8771,6.3,145,1362.0,-87.5,476.0,475.909090909,0.3494193031637298,886.0,68.4,247236.636364
0.5,35.5,12086011403,1517984.9662575456,14.2173913043,146,2013.0,-89.6,970.0,511.363636364,0.2540306191574764,1043.0,54.6,342160.909091
1.7,16.6,12086011007,116754.51520000001,6.4,147,1923.0,-89.5,1230.0,2033.36363636,1.0573913865626625,693.0,72.2,1056720.09091
2.4,43.3,12086010802,1787990.4029644665,16.2307692308,148,2157.0,-90.5,757.0,645.363636364,0.29919500990449693,1400.0,45.8,332816.545455
1.6,47.4,12086010614,205811.91749999998,7.0,149,2058.0,-93.3,1080.0,1455.90909091,0.7074388196841594,978.0,45.3,782802.272727
2.7,2.3,12086007705,35411.245555571026,4.06666666667,150,2076.0,-94.8,1218.0,347.0,0.16714836223506743,858.0,90.8,268114.636364
1.9,1.3,12086007901,124755.44515305097,3.35714285714,151,1425.0,-97.60000000000001,1069.0,254.363636364,0.17850079744842107,356.0,95.4,145715.454545
5.9,6.2,12086019400,252992.50979556923,6.92857142857,152,2374.0,-92.5,1825.0,1489.45454545,0.627402925631845,549.0,81.4,677387.454545
3.5,4.8,12086019200,1106074.9776472552,9.94117647059,153,1762.0,-95.3,1360.0,1476.09090909,0.8377360437514189,402.0,88.0,579968.363636
3.2,4.9,12086008417,2031.752777787397,1.66666666667,154,2630.0,-92.1,1211.0,50.2727272727,0.01911510542688213,1419.0,85.0,59247.3636364
2.9,2.7,12086008416,138448.50617270623,7.77777777778,155,1153.0,-95.39999999999999,740.0,220.363636364,0.1911219742966175,413.0,90.8,112755.727273
2.6,4.2,12086008419,606240.99296875,14.6875,156,2174.0,-94.5,1256.0,715.090909091,0.32892866103541857,918.0,88.7,431185.272727
1.6,19.2,12086020200,12485.550000000001,11.5,157,1175.0,-92.5,699.0,53.6363636364,0.045647969052255315,476.0,72.7,40566.7272727
2.0,8.5,12086020100,4576505.5986863505,24.3529411765,158,1191.0,-92.6,985.0,448.090909091,0.37623082207472713,206.0,83.1,178619.090909
1.9,31.1,12086001302,932062.3508030643,8.04545454545,159,2636.0,-92.2,1264.0,558.363636364,0.21182232032018208,1372.0,60.2,1013879.72727
1.5,42.1,12086001301,907473.947589206,10.3333333333,160,2037.0,-91.1,694.0,556.818181818,0.27335207747569956,1343.0,48.5,907141.0
1.8,17.8,12086001204,1250267.8515839998,8.28,161,2604.0,-93.30000000000001,1547.0,454.0,0.17434715821812596,1057.0,74.7,1105899.72727
0.0,15.7,12086014000,13600.517500005,1.5,162,51.0,-98.2,12.0,109.181818182,2.140819964352941,39.0,83.5,107776.727273
2.0,2.9,12086009043,4570.540625,1.25,163,1075.0,-94.10000000000001,570.0,865.181818182,0.8048202959832559,505.0,90.2,408281.636364
1.2,1.8,12086000133,661490.1004934628,9.22222222222,164,2540.0,-96.4,2005.0,904.272727273,0.3560128847531496,535.0,94.4,852222.636364
3.3,34.9,12086009806,366.4111111125469,1.16666666667,165,1269.0,-92.19999999999999,1010.0,30.8181818182,0.024285407264144996,259.0,55.0,14285.5454545
0.0,42.9,12086980400,625617.176,4.0,166,0.0,-99.0,0.0,58.5454545455,0.0,0.0,57.1,190145.818182
1.7,5.1,12086981000,768.453333334,2.0,167,0.0,-92.2,0.0,42.5454545455,0.0,0.0,86.4,147018.363636
4.4,5.6,12086010193,51152.3829,4.3,168,561.0,-91.5,437.0,641.363636364,1.1432506887058822,124.0,82.5,282540.090909
2.6,12.2,12086010198,719978.1999996001,12.0,169,997.0,-93.3,906.0,514.727272727,0.5162761010300903,91.0,79.5,218798.818182
0.6,24.7,12086011001,190180.20336718103,8.14285714286,170,2907.0,-89.2,748.0,314.090909091,0.10804640835603715,2159.0,64.9,178996.636364
1.1,17.7,12086010900,43812.169135870216,3.77777777778,171,1782.0,-90.2,621.0,52.2727272727,0.029333741454938275,1161.0,72.4,24962.5454545
1.1,29.6,12086010703,738561.411975,14.55,172,2988.0,-91.30000000000001,2140.0,985.363636364,0.32977364001472553,848.0,61.6,464360.272727
0.2,55.4,12086980700,9642.055,1.0,173,48.0,-95.2,0.0,2.81818181818,0.05871212121208333,48.0,40.6,23889.0909091
1.9,13.3,12086010606,1929388.0535966477,16.6842105263,174,2095.0,-92.8,1707.0,1243.18181818,0.5934042091551313,388.0,78.6,879651.545455
2.3,7.2,12086010604,2429651.16125,22.25,175,1642.0,-93.2,1427.0,861.636363636,0.5247480899123022,215.0,84.7,771398.909091
0.9,47.1,12086010500,449461.8311245196,9.15384615385,176,2578.0,-92.7,1383.0,1641.27272727,0.636645743704422,1195.0,45.7,785339.363636
1.0,25.3,12086010400,797434.9592,8.8,177,936.0,-91.6,628.0,287.181818182,0.30681818181837606,308.0,66.3,142290.181818
1.6,21.1,12086010205,91673.50264443985,6.27272727273,178,1422.0,-91.9,993.0,88.8181818182,0.062460043472714485,429.0,70.2,33925.1818182
3.0,10.4,12086010610,19037204.5149,29.7,179,1455.0,-95.9,1080.0,778.636363636,0.5351452671037801,375.0,83.5,811702.818182
2.0,18.4,12086010613,1392402.733507356,14.1333333333,180,2050.0,-92.19999999999999,981.0,1063.18181818,0.5186252771609756,1069.0,72.8,1046257.27273
4.9,8.0,12086008209,1509613.2681,13.3,181,1479.0,-94.4,1391.0,1044.27272727,0.7060667527180526,88.0,82.5,1034111.81818
0.0,0.0,12086980600,46500.0,1.0,182,0.0,1.0,0.0,19.9090909091,0.0,0.0,0.0,49798.0909091
3.0,17.1,12086010612,710301.4467448451,17.6923076923,183,2936.0,-91.9,2299.0,2668.18181818,0.9087812732220708,637.0,72.8,2070796.18182
1.3,26.1,12086010617,159906.30972215318,5.16666666667,184,1629.0,-92.2,632.0,1045.45454545,0.6417768848680172,997.0,65.8,968022.818182
0.8,22.8,12086010609,226733.21481598113,11.6666666667,185,1858.0,-93.0,647.0,512.363636364,0.27576083765554354,1211.0,70.4,367970.909091
3.8,2.3,12086008207,4935861.917526708,16.0666666667,186,1339.0,-95.89999999999999,1263.0,987.090909091,0.7371851449522031,76.0,90.8,1178587.18182
3.0,3.1,12086007103,259941.19,4.0,187,947.0,-94.39999999999999,461.0,64.4545454545,0.06806182202164732,486.0,89.3,170119.909091
